transaction_id,transaction_amount,transaction_type,user_upi_id,transaction_year,transaction_month,transaction_date,transaction_time,Merchant_id,initiation_channel,geo_coordinates_latitude,geo_coordinates_longitude,remote_access_detected,Fraud Type,fraud_label,label_confidence
TXN004657,23497,PAY,user003@okbank,2026,5,27/05/26,1:21:00,MER0009,VPA,13.0283557347,77.5846194608,No,NONE,No,0.31
TXN004469,5381,PAY,user008@okbank,2026,6,26/06/26,22:04:00,MER0096,ACCOUNT_IFSC,12.9732390915,77.6203117574,No,NONE,No,0.25
TXN002383,9397,PAY,user018@okbank,2026,2,15/02/26,16:50:00,MER0102,ACCOUNT_IFSC,13.0170030137,77.6320084413,No,NONE,No,0.23
TXN000596,4871,PAY,user006@okbank,2026,4,14/04/26,16:39:00,MER0041,MANDATE,12.9173487225,77.6173606275,No,NONE,No,0.27
TXN002279,12414,PAY,user040@okbank,2026,1,12/01/26,11:29:00,MER0106,COLLECT,12.9782445569,77.578964726,No,NONE,No,0.38
TXN003555,7672,PAY,user050@okbank,2026,1,24/01/26,19:21:00,MER0178,VPA,12.9323703329,77.6688113267,No,NONE,No,0.4
TXN004839,12326,PAY,user043@okbank,2026,4,16/04/26,9:22:00,MER0110,MOBILE,13.0034935397,77.5669759742,No,NONE,No,0.26
TXN002796,8250,PAY,user026@okbank,2026,2,20/02/26,18:47:00,MER0136,MOBILE,12.9978732278,77.5063799914,No,NONE,No,0.4
TXN002978,7518,PAY,user003@okbank,2026,5,07/05/26,10:17:00,MER0167,VPA,12.9386135223,77.5768744767,No,NONE,No,0.28
TXN003481,15169,PAY,user025@okbank,2026,1,23/01/26,8:11:00,MER0180,MANDATE,12.9542727774,77.614008406,No,NONE,No,0.06
TXN003005,893,PAY,user035@okbank,2026,5,12/05/26,20:13:00,MER0081,INTENT,12.9354003972,77.5603357797,No,NONE,No,0.26
TXN003526,6891,PAY,user042@okbank,2026,5,11/05/26,20:59:00,MER0033,INTENT,12.9537217305,77.6262804392,No,NONE,No,0.23
TXN002007,22614,PAY,user037@okbank,2026,1,28/01/26,15:41:00,MER0067,VPA,12.946604468,77.5944208862,No,NONE,No,0.5
TXN001073,26963,PAY,user010@okbank,2026,4,02/04/26,23:16:00,MER0033,COLLECT,12.9568406043,77.5289743166,No,NONE,No,0.21
TXN004321,28416,PAY,user037@okbank,2026,5,27/05/26,5:26:00,MER0195,MANDATE,12.9776914854,77.6163584441,No,NONE,No,0.4
TXN002341,8412,PAY,user028@okbank,2026,2,26/02/26,0:14:00,MER0023,MOBILE,12.8707839201,77.6240682257,No,NONE,No,0.21
TXN001205,13290,PAY,user031@okbank,2026,5,05/05/26,19:51:00,MER0008,COLLECT,13.0361116785,77.5567095364,No,NONE,No,0.17
TXN000379,27972,PAY,user045@okbank,2026,3,01/03/26,22:56:00,MER0148,MANDATE,12.8874503805,77.5134499445,No,NONE,No,0.29
TXN003286,17052,PAY,user044@okbank,2026,4,16/04/26,14:26:00,MER0156,MANDATE,12.9836489357,77.6480177382,No,NONE,No,0.08
TXN000292,100,PAY,user020@okbank,2026,2,09/02/26,16:53:00,MER0001,COLLECT,13.0114945642,77.59029397,No,NONE,No,0.02
TXN001935,20634,PAY,user013@okbank,2026,6,22/06/26,1:56:00,MER0004,ACCOUNT_IFSC,12.9130953628,77.5390640036,No,NONE,No,0.38
TXN002981,12494,PAY,user029@okbank,2026,6,17/06/26,19:57:00,MER0176,INTENT,12.9163339759,77.5890922386,No,NONE,No,0.1
TXN004824,7515,PAY,user039@okbank,2026,4,02/04/26,13:02:00,MER0039,INTENT,12.9443773711,77.5902373331,No,NONE,No,0.23
TXN002905,7492,PAY,user030@okbank,2026,6,18/06/26,6:46:00,MER0126,INTENT,12.9688219061,77.6372176357,No,NONE,No,0.24
TXN001037,8063,PAY,user004@okbank,2026,3,03/03/26,7:20:00,MER0041,INTENT,12.9418479178,77.6107431371,No,NONE,No,0.2
TXN003273,13117,PAY,user006@okbank,2026,2,11/02/26,6:13:00,MER0190,COLLECT,13.0042207781,77.4850353224,No,NONE,No,0.21
TXN002868,25891,PAY,user027@okbank,2026,2,11/02/26,0:56:00,MER0121,QR,12.9965924803,77.6015349866,No,NONE,No,0.18
TXN004047,13767,PAY,user024@okbank,2026,2,06/02/26,14:23:00,MER0011,MANDATE,12.9424954623,77.6210072027,No,NONE,No,0.13
TXN004970,10655,PAY,user035@okbank,2026,6,10/06/26,5:28:00,MER0070,COLLECT,12.9286181632,77.5804166327,No,NONE,No,0.44
TXN001520,26286,PAY,user010@okbank,2026,4,13/04/26,4:56:00,MER0015,IN_APP,12.9947466404,77.6032572136,No,NONE,No,0.25
TXN003606,20456,PAY,user026@okbank,2026,1,25/01/26,6:39:00,MER0153,COLLECT,12.9638339295,77.6196693656,No,NONE,No,0.28
TXN001180,24802,PAY,user041@okbank,2026,5,15/05/26,7:09:00,MER0151,QR,13.0176138653,77.5739195497,No,NONE,No,0.25
TXN002535,491,PAY,user026@okbank,2026,3,03/03/26,17:19:00,MER0188,INTENT,12.9897947253,77.5213310169,No,NONE,No,0.57
TXN000384,4828,PAY,user018@okbank,2026,1,25/01/26,12:13:00,MER0061,QR,12.9765257677,77.5997636586,No,NONE,No,0.46
TXN002552,20520,PAY,user016@okbank,2026,6,24/06/26,11:52:00,MER0003,INTENT,12.9717821271,77.4805524131,No,NONE,No,0.35
TXN002877,100,PAY,user049@okbank,2026,4,04/04/26,15:41:00,MER0051,COLLECT,12.9759480931,77.5928290143,No,NONE,No,0.26
TXN001690,5931,PAY,user029@okbank,2026,4,12/04/26,19:56:00,MER0177,MOBILE,12.9561527788,77.5870803383,No,NONE,No,0.34
TXN003724,8901,PAY,user008@okbank,2026,4,06/04/26,0:03:00,MER0152,QR,12.9242291014,77.6773455881,No,NONE,No,0.4
TXN000971,14839,PAY,user043@okbank,2026,4,23/04/26,7:07:00,MER0026,INTENT,12.8939481413,77.5820962583,No,NONE,No,0.28
TXN000679,20865,PAY,user006@okbank,2026,1,02/01/26,16:13:00,MER0160,COLLECT,12.9870686084,77.6522680944,No,NONE,No,0.26
TXN004022,20819,PAY,user045@okbank,2026,5,26/05/26,5:21:00,MER0155,VPA,12.9868978219,77.5504445924,No,NONE,No,0.14
TXN000554,11552,PAY,user029@okbank,2026,3,13/03/26,9:51:00,MER0009,INTENT,12.9665296037,77.6110144536,No,NONE,No,0.38
TXN002288,993,PAY,user002@okbank,2026,3,25/03/26,11:33:00,MER0145,COLLECT,12.9488924558,77.4717407499,No,NONE,No,0.59
TXN002112,653,PAY,user014@okbank,2026,1,27/01/26,13:34:00,MER0168,COLLECT,12.972499914,77.6232479287,No,NONE,No,0.41
TXN003885,25404,PAY,user007@okbank,2026,4,25/04/26,15:32:00,MER0116,IN_APP,13.0037471516,77.4791194233,No,NONE,No,0.12
TXN003638,722,PAY,user015@okbank,2026,3,19/03/26,11:15:00,MER0113,COLLECT,12.989306324,77.6293382315,No,NONE,No,0.21
TXN001823,100,PAY,user034@okbank,2026,2,27/02/26,22:23:00,MER0034,MANDATE,12.996148035,77.6274638362,No,NONE,No,0.29
TXN003385,20384,PAY,user014@okbank,2026,2,02/02/26,5:42:00,MER0149,IN_APP,13.0585190679,77.5375440666,No,NONE,No,0.42
TXN004692,38942,PAY,user035@okbank,2026,3,07/03/26,16:35:00,MER0188,INTENT,13.0379225819,77.5812518459,No,NONE,No,0.12
TXN000561,8247,PAY,user049@okbank,2026,5,08/05/26,15:13:00,MER0095,COLLECT,12.9756209687,77.6671630924,No,NONE,No,0.26
TXN000394,17079,PAY,user003@okbank,2026,5,02/05/26,18:23:00,MER0019,INTENT,13.0341996534,77.5213926579,No,NONE,No,0.17
TXN002128,2088,PAY,user005@okbank,2026,6,03/06/26,3:29:00,MER0136,INTENT,12.9370712321,77.7230145224,No,NONE,No,0.32
TXN004761,6460,PAY,user039@okbank,2026,2,19/02/26,21:15:00,MER0024,INTENT,13.0145373617,77.5650560548,No,NONE,No,0.24
TXN001031,20323,PAY,user002@okbank,2026,4,10/04/26,19:43:00,MER0019,IN_APP,13.0027851169,77.5516039198,No,NONE,No,0.25
TXN003082,21560,PAY,user035@okbank,2026,2,04/02/26,0:59:00,MER0151,VPA,12.982436381,77.4612203227,No,NONE,No,0.34
TXN004401,19135,PAY,user006@okbank,2026,4,06/04/26,18:41:00,MER0003,COLLECT,12.9273581157,77.583607382,No,NONE,No,0.42
TXN004455,15900,PAY,user009@okbank,2026,6,19/06/26,3:54:00,MER0069,ACCOUNT_IFSC,12.9693873936,77.5341921521,No,NONE,No,0.4
TXN002071,8305,PAY,user023@okbank,2026,2,25/02/26,13:08:00,MER0085,IN_APP,12.9571349964,77.5543731553,No,NONE,No,0.24
TXN004599,4318,PAY,user021@okbank,2026,3,26/03/26,7:40:00,MER0020,COLLECT,13.031328545,77.5952496158,No,NONE,No,0.32
TXN002272,12054,PAY,user010@okbank,2026,1,28/01/26,7:35:00,MER0117,MANDATE,12.8736913431,77.5887586602,No,NONE,No,0.58
TXN003480,13962,PAY,user021@okbank,2026,5,08/05/26,3:34:00,MER0071,MANDATE,12.9488735685,77.5602968185,No,NONE,No,0.35
TXN001245,17289,PAY,user048@okbank,2026,6,13/06/26,5:07:00,MER0010,COLLECT,12.9404854642,77.5761806589,No,NONE,No,0.32
TXN000312,16345,PAY,user017@okbank,2026,1,01/01/26,8:47:00,MER0020,QR,13.06577744,77.5590128294,No,NONE,No,0.39
TXN003709,29125,PAY,user041@okbank,2026,3,12/03/26,10:48:00,MER0184,INTENT,12.9456353612,77.5935047706,No,NONE,No,0.21
TXN004641,6263,PAY,user011@okbank,2026,2,05/02/26,5:13:00,MER0198,QR,12.966446589,77.5072332998,No,NONE,No,0.13
TXN000843,32200,PAY,user020@okbank,2026,5,15/05/26,21:09:00,MER0058,MANDATE,13.036661205,77.4725293175,No,NONE,No,0.12
TXN001352,13864,PAY,user006@okbank,2026,5,13/05/26,22:29:00,MER0013,INTENT,12.9219981304,77.6543113012,No,NONE,No,0.02
TXN004663,18505,PAY,user014@okbank,2026,4,10/04/26,7:51:00,MER0155,ACCOUNT_IFSC,13.0037421441,77.5565488101,No,NONE,No,0.38
TXN003184,6122,PAY,user015@okbank,2026,1,17/01/26,5:08:00,MER0004,QR,12.9371376652,77.6616757988,No,NONE,No,0.26
TXN004874,8819,PAY,user047@okbank,2026,5,13/05/26,6:26:00,MER0096,INTENT,12.8845703304,77.6247611318,No,NONE,No,0.35
TXN002671,17038,PAY,user033@okbank,2026,1,03/01/26,7:56:00,MER0030,VPA,13.0186914631,77.6148449452,No,NONE,No,0.04
TXN002558,21701,PAY,user041@okbank,2026,3,08/03/26,15:20:00,MER0186,VPA,12.9866177816,77.5560975538,No,NONE,No,0.34
TXN003172,6119,PAY,user042@okbank,2026,1,14/01/26,13:57:00,MER0067,MOBILE,13.0393182404,77.5648214616,No,NONE,No,0.1
TXN003132,5547,PAY,user026@okbank,2026,6,27/06/26,17:40:00,MER0135,ACCOUNT_IFSC,13.0039740747,77.6554439442,No,NONE,No,0.32
TXN000917,6903,PAY,user026@okbank,2026,2,22/02/26,0:52:00,MER0110,MOBILE,12.9556795464,77.5706478521,No,NONE,No,0.23
TXN004726,31635,PAY,user025@okbank,2026,1,04/01/26,9:22:00,MER0179,MANDATE,13.0380244204,77.6297749521,No,NONE,No,0.38
TXN004529,27274,PAY,user035@okbank,2026,1,22/01/26,12:17:00,MER0114,MOBILE,12.9527104105,77.4891166564,No,NONE,No,0.37
TXN004919,13365,PAY,user011@okbank,2026,3,24/03/26,1:23:00,MER0090,QR,13.0196899273,77.5673114867,No,NONE,No,0.33
TXN004524,25419,PAY,user027@okbank,2026,1,20/01/26,16:05:00,MER0185,MOBILE,13.0400705864,77.565509348,No,NONE,No,0.17
TXN000786,10204,PAY,user004@okbank,2026,3,22/03/26,10:17:00,MER0094,VPA,12.9095541209,77.6856478638,No,NONE,No,0.3
TXN004651,100,PAY,user009@okbank,2026,3,17/03/26,8:10:00,MER0135,QR,12.9428390123,77.5775820194,No,NONE,No,0.15
TXN002595,7467,PAY,user011@okbank,2026,4,28/04/26,2:09:00,MER0112,ACCOUNT_IFSC,13.0133752437,77.6005028495,No,NONE,No,0.62
TXN003343,16841,PAY,user042@okbank,2026,1,22/01/26,20:03:00,MER0007,MOBILE,12.9772336653,77.6885019604,No,NONE,No,0.2
TXN001518,5789,PAY,user002@okbank,2026,2,28/02/26,7:31:00,MER0029,ACCOUNT_IFSC,12.9615756909,77.4998217156,No,NONE,No,0.29
